title,authors,date,image
네이버 커넥트 THE AI BOOK,"김현철, 신은경, 이민정, 박선우, 정기민, 곽소아, 정문수",2026.6.10,/assets/img/books/네이버.jpg
AI 디지털 교육 트렌드 리포트 2026,"박기현, 김현철, 김진숙, 김수환, 정성윤, 도재우, 손찬희, 조기성, 윤성혜, 류은진, 이경남, 오규설, 이동국, 이은상 저, 테크빌교육",2026.1.1,/assets/img/books/AI교육트렌드리포트2026.jpg
오렌지3 with 파이썬,"김현철, 김종혜, 박종화, 임진숙 저, 생능북스",2024.7.1,/assets/img/books/오렌지3파이썬.png
고등학교 정보 교과서,"김현철, 이승현, 김종혜, 박승유, 김길한, 안지후 저, 천재",2024.1.1,/assets/img/books/고정보.png
고등학교 인공지능기초 교과서,"김현철, 임진숙, 김종혜, 박종화, 심희원 저, 천재",2024.1.1,/assets/img/books/고인기초.png
고등학교 데이터과학 교과서,"김현철, 임진숙, 윤수진, 박종화, 김종혜, 이창권 저, 천재",2024.1.1,/assets/img/books/고데이터과학.png
중학교 정보 교과서,"김현철, 김수환, 김승범, 이용진, 임수기, 이화정, 이도영 저, 천재",2024.1.1,/assets/img/books/중정보.png
한눈에 보이는 인공지능 수학 그림책,"한선관, 정기민 저, 성안당",2023.7.1,/assets/img/books/한눈에.jpg
놀이로 배우는 인공지능 몸 놀이를 하며 코딩과 인공지능을 배우는 예술융합창작 프로젝트 학습서,"곽소아, 김서진, 양정현, 이현주, 장윤재 저, 제이펍",2022.11.1,/assets/img/books/놀이로.jpg
"AI 시대, 교사는 살아남을 것인가","강윤지, 계보경, 권가진, 김근재, 김동호, 김수환, 김주현, 김현철, 김호준, 배창섭, 손제득, 송석리, 송은정, 이웅기, 임완철, 정훈, 조기성, 조현구, 최삼락, 임철일 저, 학이시습",2021.6.1,/assets/img/books/AI시대교사는.png
모두를 위한 인공지능 언플러그드,"임진숙, 이도영, 박호림, 양석재, 김원일, 강신옥, 김인주 저, 씨마스",2020.12.1,/assets/img/books/모두를.jpg
정보적 사고에서 인공 지능까지 : computational thinking,"김현철, 한빛아카데미",2019.9.1,/assets/img/books/정보적사고에서.jpg
코딩 플레이그라운드 아이들이 즐겁게 코딩하면서 컴퓨팅 사고를 키우는 곳,"마리나 유머시 버스 저 / 곽소아, 장윤재 역, 미디어숲",2018.11.1,/assets/img/books/플레이그라운드.jpg
"인공지능과 자율주행 자동차, 그리고 법","명순구, 김기창, 김현철, 박종수, 이상돈, 이제우, 정채연, 세창출판사",2017.11.1,/assets/img/books/자율주행법.jpg
데이터로 표현하는 세상 - 정보적 사고의 시작,"김현철, 고려대학교 출판문화원",2014.2.1,/assets/img/books/데표세.jpg
