title,period,
"고려대학교 (컴퓨터교육과, 컴퓨터학과) /교수",1999- 현재
"교육부 정책자문위원회 /위원",2026.1. – 현재
"교육부 인공지능 인재양성 추진단 /위원",2025.12. - 현재
"국가교육위원회 AI시대교육특별위원회 /위원",2025.11. – 2026.6.
"국가인공지능전략위원회 과학인재분과 /분과위원",2025.9. - 현재
"국가인공지능전략위원회 교육인재분과 /위원, 교육TF 리더",2026.3 - 현재
"제1기 국가인공지능위원회 정책연구심의위원회 /위원",2025.7. - 현재
"여성가족부 제7대 중앙성별영향평가위원회 /위원",2024.5. - 2026.3.
"교육부 교육정책자문위원회 /위원",2023.4. - 2024.4.
"과기정통부 인공지능윤리 정책포럼 3분과(AI윤리교육) /위원",2022 - 2024
"서울시교육청 인공지능 기반 융합교육 자문위원회 /자문위원",2022.2. - 2024.1.
"한국과학창의재단 /과학창의 정책 자문위원","2021.5. - 2023.5., 2019 - 2021"
"국가교육회의 디지털교육 특별위원회 /위원",2021.2. - 2022.5.
"(사)한국정보과학교육연합회 /등기이사",2019.3. – 2024.2.
"(사)한국정보과학교육연합회 /공동대표",2015.3. – 2019.2.
"(재)네이버-커넥트 재단 /사외이사",2019 – 2024
"한국과학기술단체총연합회 과학기술교육위원회 /위원",2020 - 2021
"(주)비플라이소프트 /사외이사",2018 - 2021
"교육부 과학수학정보교육융합위원회 /위원",2018 - 2021
"국세청 빅데이터 /자문위원",2017 - 2019
"EBS /시청자위원",2018 - 2019
"한국교육학술정보원 /정책자문위원",2016 - 2017
"한국컴퓨터교육학회 /학회장",2014 - 2018
"네이버 SW교육부분/자문교수",2014 - 2016
