title,date,journal,author
Playfulness and Social–Emotional Support as Predictors of Elementary Students,2026.06,Interactive Learning Environments,"Gwak Soah, Yunjae Jang, Seojin Kim, Jeonghyun Yang, Hyunjoo Lee, and Hyeoncheol Kim."
From Undiagnosable to Diagnosable: Agentic Data Curation for Long-Tail Compiler Error Classification,2026.06,International Conference on Intelligent Tutoring Systems,Sunwoo Park and Hyeoncheol Kim
"Same F1, Different Feedback: Measuring Diagnostic Coherence in Programming Error Classifiers",2026.06,International Conference on Intelligent Tutoring Systems,Sunwoo Park and Hyeoncheol Kim
Ensuring Reliability in Programming Knowledge Tracing: A Re-evaluation of Attention-augmented Models and Experimental Protocols,2026.06,International Conference on Intelligent Tutoring Systems,"Jaewook Kim,Hyeoncheol Kim"
Meta-KT: Metacognitive-Aware Knowledge Tracing with Pedagogical Optimization,2026.06,International Conference on Intelligent Tutoring Systems,Jeongjin Lee and Hyeoncheol Kim
"국내외 K-12 인공지능 소양 교육 프레임워크
분석",2026.4.13,컴퓨터교육학회 논문지,"정기민, 곽소아, 김수환, 이정진, 김현철"
An Attribution Framework for Transparent Use of Generative AI in University Coursework. ,2026.3.19,컴퓨터교육학회 논문지,"Woojin Kim, Changkwon Lee, Hyeoncheol Kim"
인지 처리 관점에서의 딥러닝 기반 지식 추적(KT) 모델과 망각 메커니즘 분석,2026.1.22,한국컴퓨터교육학회 학술대회,"이정진, 김현철"
Evaluating LLMs for Police Decision-Making: A Framework Based on Police Action Scenarios,2026.1.24,the Fortieth AAAI Conference on Artificial Intelligence (AAAI-26),"Sangyub Lee, Heedou Kim, Hyeoncheol Kim"
KTCF: Actionable Recourse in Knowledge Tracing via Counterfactual Explanations for Education,2026.1.25,the Fortieth AAAI Conference on Artificial Intelligence (AAAI-26),"Woojin Kim, Changkwon Lee, Hyeoncheol Kim"
Development and Validation of an AI Literacy Diagnostic Tool for Middle School Students,2025.12.29,International Journal of Human Computer Interaction,"Kimin Chung, Soohwan Kim, Jeongjin Lee, Changkwon Lee, Hyerim Noh, Yeonha Kwon, Hyeoncheol Kim"
Explainable Machine Learning for Predicting Computational Thinking Proficiency in K-12 Students Using National-Level Data,2025.11.19,IEEE Access,"Hyuna Noh, Hansung Kim, Hyeoncheol Kim"
Acoustic Anomaly Detection for Propeller Crack Defects: A Drone-Based Surrogate Dataset for UAM,2025.11.12,IEEE Access,"Juho Lee, Donghyun Yoon, Gu Moon Jeong, Hyeoncheol Kim"
Pedagogy-R1: Pedagogical Large Reasoning Model and Well-balanced Educational Benchmark,2025.11.10,CIKM '25: Proceedings of the 34th ACM International Conference on Information and Knowledge Management,"Unggi Lee, Jaeyong Lee, Jiyeong Bae, Yeil Jeong, Junbo Koh, Gyeonggeon 'Boaz' Lee, Gunho Lee, Taekyung Ahn, Hyeoncheol Kim"
A Comprehensive Survey and Taxonomy on Large Language Model-Based Knowledge Tracing,2025.6.1,International Conference on Intelligent Tutoring Systems (ITS),"Sunwoo Park, Hyeoncheol Kim"
Two-Level Imbalance Mitigation (TLIM): A Dual-Strategy Approach for Multi-Class Error Classification in Programming Education,2025.6.1,International Conference on Intelligent Tutoring Systems (ITS),"Sunwoo Park, Hyeoncheol Kim"
Echo-Teddy: Preliminary Design and Development of Large Language Model-based Social Robot for Autistic Students,2025.6.1,International Conference on Intelligent Tutoring Systems (ITS),"Unggi Lee, Hansung Kim, Juhong Eom, Hyeonseo Jeong, Seungyeon Lee, Gyuri Byun, Yunseo Lee, Minji Kang, Gospel Kim, Jihoi Na, Jewoong Moon, Hyeoncheol Kim"
ES-KT-24: A Multimodal Knowledge Tracing Benchmark Dataset with Educational Game Playing Video and Synthetic Text Generation,2025.6.1,International Conference on Intelligent Tutoring Systems (ITS),"Dohee Kim, Unggi Lee, Sookbun Lee, Jiyeong Bae, Taekyung Ahn, Jaekwon Park, Gunho Lee, Hyeoncheol Kim"
Gamified Team Programming in MUVEs: Effects on Student Engagement and Achievement,2025.6.1,Generative Systems and Intelligent Tutoring Systems,"Yeonju Jang, Seongyune Choi, Heeseok Jung, Hyeoncheol Kim"
LLaVA-Docent-V2: Improving Data Quality to Train Large Multimodal Models for Art Appreciation Education,2025.6.1,International Conference on Intelligent Tutoring Systems (ITS),"Unggi Lee, Yoorim Son, Jaeyoon Shin, Gyuri Byun, Yunseo Lee, Junbo Koh, Minji Jeon, Hyeoncheol Kim"
Counterfactual Fairness Evaluation of Machine Learning Models on Educational Datasets,2025.6.1,International Conference on Intelligent Tutoring Systems (ITS),"Woojin Kim, Hyeoncheol Kim"
Can we Use GPT-4 as a Mathematics Evaluator in Education?: Exploring the Efficacy and Limitation of LLM-based Automatic Assessment System for Open-ended Mathematics Question,2024.12.19,International Journal of Artificial Intelligence in Education,"Unggi Lee, Youngin Kim, Sangyun Lee, Jaehyeon Park, Jin Mun, Eunseo Lee, Hyeoncheol Kim, Cheolil Lim, Yun Joo Yoo"
LLaVa-Docent: Instruction Tuning with Multimodal Large Language Model to Support Art Appreciation Education,2024.12.9,"Computers & Education, Artificial Intelligence","Unggi Lee, Minji Jeon, Yunseo Lee, Gyuri Byun, Yoorim Son, Jaeyoon Shin, Hongkyu Ko, Hyeoncheol Kim"
